Date,Open,High,Low,Close,Adj Close,Volume
2018-05-10,6909.180176,6966.930176,6906.770020,6963.549805,6963.549805,2233460000
2018-05-11,6948.870117,6969.299805,6923.609863,6952.560059,6952.560059,2083030000
2018-05-14,6977.350098,7008.259766,6954.640137,6964.370117,6964.370117,2075670000
2018-05-15,6909.319824,6912.040039,6852.729980,6888.540039,6888.540039,2114040000
2018-05-16,6892.890137,6944.540039,6891.649902,6929.970215,6929.970215,2083660000
2018-05-17,6905.750000,6952.979980,6869.390137,6901.629883,6901.629883,1931700000
2018-05-18,6876.649902,6897.910156,6857.580078,6866.250000,6866.250000,1966710000
2018-05-21,6920.319824,6948.270020,6876.350098,6905.529785,6905.529785,1949100000
2018-05-22,6934.700195,6947.430176,6883.750000,6893.620117,6893.620117,1908280000
2018-05-23,6847.270020,6954.700195,6846.939941,6953.629883,6953.629883,1980450000
2018-05-24,6951.520020,6963.680176,6882.569824,6949.700195,6949.700195,1992460000
2018-05-25,6951.470215,6982.520020,6941.850098,6960.919922,6960.919922,1757660000
2018-05-29,6928.500000,6964.649902,6887.120117,6926.540039,6926.540039,2087370000
2018-05-30,6955.589844,6987.629883,6938.020020,6976.370117,6976.370117,2049450000
2018-05-31,6969.930176,7016.419922,6955.990234,6967.729980,6967.729980,2514610000
2018-06-01,7010.080078,7084.839844,7008.020020,7083.930176,7083.930176,2208600000
2018-06-04,7099.500000,7146.770020,7099.089844,7143.569824,7143.569824,2142790000
2018-06-05,7162.410156,7179.819824,7137.129883,7166.750000,7166.750000,2058630000
2018-06-06,7180.240234,7212.450195,7140.919922,7210.080078,7210.080078,2191750000
2018-06-07,7212.430176,7212.430176,7115.859863,7152.830078,7152.830078,2328280000
2018-06-08,7121.759766,7161.919922,7100.729980,7152.620117,7152.620117,1941580000
2018-06-11,7149.649902,7187.450195,7146.089844,7168.479980,7168.479980,1942940000
2018-06-12,7181.669922,7214.490234,7173.759766,7209.180176,7209.180176,2006760000
2018-06-13,7219.580078,7261.169922,7193.020020,7205.259766,7205.259766,2172770000
2018-06-14,7233.700195,7291.310059,7233.700195,7279.589844,7279.589844,2188230000
2018-06-15,7245.160156,7268.839844,7220.970215,7255.759766,7255.759766,3043790000
2018-06-18,7201.180176,7256.430176,7186.160156,7251.410156,7251.410156,2093950000
2018-06-19,7158.799805,7229.990234,7138.020020,7228.040039,7228.040039,2269000000
2018-06-20,7264.850098,7309.990234,7256.870117,7280.700195,7280.700195,2305100000
2018-06-21,7304.049805,7308.259766,7203.930176,7217.490234,7217.490234,2315880000
2018-06-22,7239.720215,7239.750000,7177.459961,7197.509766,7197.509766,3928340000
2018-06-25,7131.049805,7144.290039,6976.959961,7038.169922,7038.169922,2415090000
2018-06-26,7061.229980,7108.450195,7040.060059,7068.200195,7068.200195,16658050000
2018-06-27,7096.600098,7128.770020,6968.299805,6969.669922,6969.669922,2286430000
2018-06-28,6963.370117,7055.250000,6950.229980,7031.600098,7031.600098,2195400000
2018-06-29,7071.490234,7101.830078,7031.399902,7040.799805,7040.799805,2192010000
2018-07-02,6979.540039,7099.270020,6969.160156,7097.819824,7097.819824,1767910000
2018-07-03,7121.709961,7122.450195,7009.509766,7014.549805,7014.549805,1179310000
2018-07-05,7064.000000,7105.540039,7025.250000,7101.049805,7101.049805,1745030000
2018-07-06,7114.169922,7217.000000,7106.100098,7207.330078,7207.330078,1704580000
2018-07-09,7251.180176,7277.580078,7221.319824,7276.000000,7276.000000,1837330000
2018-07-10,7287.049805,7297.790039,7257.490234,7282.600098,7282.600098,1725210000
2018-07-11,7221.660156,7271.120117,7220.229980,7243.979980,7243.979980,1761420000
2018-07-12,7276.379883,7368.720215,7274.160156,7366.250000,7366.250000,1926110000
2018-07-13,7372.279785,7387.740234,7348.959961,7375.819824,7375.819824,1714140000
2018-07-16,7381.029785,7390.640137,7346.339844,7357.899902,7357.899902,1730190000
2018-07-17,7291.479980,7418.430176,7288.299805,7403.890137,7403.890137,1740680000
2018-07-18,7407.250000,7411.250000,7368.359863,7390.129883,7390.129883,1857670000
2018-07-19,7364.660156,7388.990234,7344.330078,7352.359863,7352.359863,1853030000
2018-07-20,7379.129883,7398.589844,7343.370117,7350.229980,7350.229980,1786250000
2018-07-23,7335.419922,7376.819824,7301.339844,7371.779785,7371.779785,1654290000
2018-07-24,7455.509766,7475.990234,7375.740234,7406.250000,7406.250000,2014850000
2018-07-25,7406.100098,7511.390137,7405.640137,7508.589844,7508.589844,1899790000
2018-07-26,7404.560059,7430.120117,7385.720215,7400.750000,7400.750000,2213070000
2018-07-27,7443.240234,7443.240234,7255.319824,7296.779785,7296.779785,2176170000
2018-07-30,7292.720215,7299.080078,7158.779785,7193.100098,7193.100098,2143410000
2018-07-31,7219.669922,7272.959961,7179.410156,7231.979980,7231.979980,2195050000
2018-08-01,7269.200195,7294.799805,7234.640137,7272.890137,7272.890137,2223550000
2018-08-02,7221.350098,7380.560059,7221.350098,7372.149902,7372.149902,2081300000
2018-08-03,7389.359863,7395.490234,7356.330078,7395.490234,7395.490234,2018700000
2018-08-06,7390.819824,7439.549805,7381.580078,7438.990234,7438.990234,2238170000
2018-08-07,7459.319824,7478.959961,7443.879883,7462.649902,7462.649902,2197590000
2018-08-08,7454.419922,7486.209961,7435.770020,7469.549805,7469.549805,2087850000
2018-08-09,7467.509766,7498.370117,7458.569824,7466.959961,7466.959961,2032950000
2018-08-10,7409.049805,7436.689941,7382.830078,7408.299805,7408.299805,2095180000
2018-08-13,7420.180176,7468.819824,7398.529785,7401.169922,7401.169922,1914240000
2018-08-14,7430.450195,7455.419922,7390.000000,7447.169922,7447.169922,1917360000
2018-08-15,7385.669922,7409.479980,7308.520020,7354.660156,7354.660156,2286960000
2018-08-16,7409.609863,7422.830078,7361.879883,7374.290039,7374.290039,1979540000
2018-08-17,7352.629883,7394.939941,7312.649902,7377.540039,7377.540039,1843150000
2018-08-20,7393.580078,7395.750000,7343.470215,7371.419922,7371.419922,1698970000
2018-08-21,7393.459961,7441.419922,7388.370117,7397.229980,7397.229980,1766630000
2018-08-22,7379.839844,7434.479980,7374.689941,7424.600098,7424.600098,1660460000
2018-08-23,7420.310059,7465.870117,7405.399902,7413.839844,7413.839844,1879890000
2018-08-24,7443.709961,7489.540039,7442.990234,7485.399902,7485.399902,1886600000
2018-08-27,7527.370117,7560.759766,7512.020020,7559.129883,7559.129883,2319130000
2018-08-28,7580.850098,7588.720215,7556.709961,7570.250000,7570.250000,1961300000
2018-08-29,7585.129883,7661.950195,7583.520020,7660.180176,7660.180176,1897000000
2018-08-30,7645.109863,7691.100098,7619.729980,7642.669922,7642.669922,2014450000
2018-08-31,7634.439941,7676.459961,7628.540039,7654.549805,7654.549805,1899910000
2018-09-04,7629.339844,7643.450195,7581.350098,7622.319824,7622.319824,2229520000
2018-09-05,7600.950195,7607.180176,7498.379883,7523.259766,7523.259766,2596780000
2018-09-06,7527.220215,7532.299805,7405.319824,7453.169922,7453.169922,2368680000
2018-09-07,7402.189941,7489.399902,7400.990234,7430.259766,7430.259766,2146380000
2018-09-10,7466.759766,7473.750000,7410.740234,7447.680176,7447.680176,2041450000
2018-09-11,7415.089844,7519.450195,7401.720215,7507.870117,7507.870117,0
2018-09-12,7493.379883,7501.240234,7422.910156,7488.060059,7488.060059,2341850000
2018-09-13,7535.229980,7578.759766,7531.660156,7561.689941,7561.689941,2318720000
2018-09-14,7575.379883,7581.299805,7515.040039,7545.500000,7545.500000,2030720000
2018-09-17,7522.589844,7533.919922,7427.790039,7434.729980,7434.729980,2284140000
2018-09-18,7440.859863,7531.200195,7436.529785,7494.399902,7494.399902,2317990000
2018-09-19,7498.240234,7513.339844,7441.560059,7490.319824,7490.319824,2156730000
2018-09-20,7534.020020,7582.430176,7523.870117,7569.029785,7569.029785,2287150000
2018-09-21,7587.390137,7603.859863,7522.120117,7531.069824,7531.069824,3706820000
2018-09-24,7477.450195,7554.950195,7447.229980,7548.750000,7548.750000,2416380000
2018-09-25,7552.020020,7568.169922,7525.189941,7563.189941,7563.189941,2288140000
2018-09-26,7563.959961,7637.620117,7553.259766,7563.089844,7563.089844,2290730000
2018-09-27,7600.350098,7657.799805,7596.959961,7629.569824,7629.569824,2053770000
2018-09-28,7612.649902,7649.299805,7598.689941,7627.649902,7627.649902,2323940000
2018-10-01,7673.000000,7700.560059,7627.470215,7645.450195,7645.450195,2283230000
2018-10-02,7632.370117,7685.359863,7610.250000,7628.279785,7628.279785,2391370000
2018-10-03,7663.089844,7676.899902,7625.600098,7637.430176,7637.430176,3047330000
2018-10-04,7603.009766,7608.240234,7436.259766,7490.000000,7490.000000,3274550000
2018-10-05,7482.040039,7510.450195,7327.439941,7399.009766,7399.009766,2672900000
2018-10-08,7356.540039,7415.540039,7267.020020,7352.819824,7352.819824,2239640000
2018-10-09,7352.439941,7430.359863,7339.859863,7371.620117,7371.620117,2459040000
2018-10-10,7319.810059,7329.240234,7042.060059,7044.500000,7044.500000,3077330000
2018-10-11,7013.479980,7120.100098,6892.890137,6964.029785,6964.029785,3129290000
2018-10-12,7150.209961,7179.040039,7019.890137,7157.209961,7157.209961,2650290000
2018-10-15,7129.310059,7144.160156,7047.470215,7068.669922,7068.669922,2148850000
2018-10-16,7141.669922,7291.259766,7133.290039,7276.430176,7276.430176,2623300000
2018-10-17,7310.000000,7311.850098,7205.759766,7278.629883,7278.629883,2364720000
2018-10-18,7250.919922,7251.540039,7081.890137,7116.089844,7116.089844,2545950000
2018-10-19,7169.450195,7227.959961,7080.740234,7107.229980,7107.229980,2532220000
2018-10-22,7146.029785,7193.720215,7088.899902,7141.209961,7141.209961,2282400000
2018-10-23,7002.689941,7149.129883,6933.560059,7118.669922,7118.669922,2735820000
2018-10-24,7101.850098,7117.339844,6777.470215,6789.149902,6789.149902,2930550000
2018-10-25,6891.270020,7063.919922,6866.750000,7016.390137,7016.390137,2741810000
2018-10-26,6804.689941,6976.939941,6743.779785,6852.399902,6852.399902,2964780000
2018-10-29,6954.689941,6973.189941,6574.750000,6713.899902,6713.899902,2689550000
2018-10-30,6673.839844,6816.270020,6652.529785,6810.120117,6810.120117,2681310000
2018-10-31,6933.109863,7030.509766,6924.089844,6967.100098,6967.100098,2899730000
2018-11-01,6980.790039,7071.839844,6932.209961,7069.169922,7069.169922,2708880000
2018-11-02,7042.299805,7085.270020,6909.069824,6965.290039,6965.290039,2889910000
2018-11-05,6946.149902,6952.930176,6859.799805,6937.089844,6937.089844,2166470000
2018-11-06,6939.129883,7024.779785,6928.000000,6988.850098,6988.850098,2285680000
2018-11-07,7068.500000,7205.959961,7057.709961,7203.129883,7203.129883,2677530000
2018-11-08,7176.189941,7192.319824,7125.140137,7158.589844,7158.589844,2462430000
2018-11-09,7095.450195,7104.390137,6982.890137,7039.149902,7039.149902,2418490000
2018-11-12,6990.370117,6998.799805,6819.379883,6829.100098,6829.100098,2283070000
2018-11-13,6858.589844,6951.439941,6811.680176,6830.910156,6830.910156,2343940000
2018-11-14,6896.200195,6916.100098,6736.180176,6769.870117,6769.870117,2540220000
2018-11-15,6750.629883,6908.830078,6702.419922,6890.450195,6890.450195,2508720000
2018-11-16,6823.029785,6898.129883,6797.430176,6867.020020,6867.020020,2438260000
2018-11-19,6832.250000,6841.439941,6623.370117,6642.919922,6642.919922,2354020000
2018-11-20,6475.680176,6614.009766,6442.359863,6526.959961,6526.959961,2664950000
2018-11-21,6608.120117,6639.370117,6566.310059,6575.660156,6575.660156,1858050000
2018-11-23,6525.020020,6591.560059,6524.549805,6527.350098,6527.350098,958950000
2018-11-26,6616.790039,6679.910156,6590.890137,6678.339844,6678.339844,2011180000
2018-11-27,6639.390137,6715.410156,6609.080078,6701.040039,6701.040039,2067360000
2018-11-28,6756.129883,6914.790039,6713.290039,6913.330078,6913.330078,2390260000
2018-11-29,6890.839844,6938.020020,6839.450195,6892.399902,6892.399902,1983460000
2018-11-30,6902.240234,6951.129883,6872.290039,6949.009766,6949.009766,2542820000
2018-12-03,7106.839844,7107.000000,7013.200195,7062.129883,7062.129883,2621020000
2018-12-04,7026.810059,7045.680176,6785.850098,6795.209961,6795.209961,2625810000
2018-12-06,6652.129883,6840.500000,6630.819824,6838.850098,6838.850098,25112130000
2018-12-07,6806.629883,6849.379883,6594.540039,6613.279785,6613.279785,2475160000
2018-12-10,6603.359863,6710.390137,6534.330078,6682.740234,6682.740234,2367560000
2018-12-11,6782.410156,6788.470215,6650.830078,6704.240234,6704.240234,2246060000
2018-12-12,6800.549805,6867.660156,6761.779785,6763.959961,6763.959961,2412300000
2018-12-13,6805.700195,6833.779785,6724.040039,6767.970215,6767.970215,2143520000
2018-12-14,6679.910156,6710.410156,6585.310059,6594.959961,6594.959961,2200510000
2018-12-17,6571.000000,6621.629883,6399.549805,6448.390137,6448.390137,2665240000
